name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry
phytic acid,C6H18O24P6,54,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,0,B3LYP/6-31G(d) (gas),-7.841310053982759,-0.5196890503165141,7.321621003666245,7.841310053982759,0.5196890503165141,4.180499552149636,3.6608105018331223,0.27316355203287845,-4.180499552149636,2.3869818578115494,0.08734410693071097,-0.9152026254582806,Fe(110),4.82,-111386.52915300932,-14.5885,neutral,gas,FF (MMFF)
phytic acid,C6H18O24P6,54,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,0,B3LYP/6-31G(d) (ddCOSMO:water),-8.102541915758518,-0.07963453513872386,8.022907380619795,8.102541915758518,0.07963453513872386,4.091088225448621,4.011453690309898,0.24928618830016877,-4.091088225448621,2.0861518243167554,0.09085381894251268,-1.0028634225774744,Fe(110),4.82,-111388.31044023059,-14.9272,neutral,aqueous,FF (MMFF)
