name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry,score
sulfamethoxazole,C10H11N3O3S,28,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.5536,-2.5336,4.0199,6.5536,2.5336,4.5436,2.01,0.4975,-4.5436,5.1355,-0.0705,-0.5025,Al(111),4.26,-31999.310765865343,-3.6144,pH-weighted,aqueous,FF (MMFF),1.0
trimethoprim,C14H18N4O3,39,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.4941,-2.3405,4.1536,6.4941,2.3405,4.4173,2.0768,0.4815,-4.4173,4.6977,-0.0379,-0.5192,Al(111),4.26,-26919.211942594506,-5.6856,pH-weighted,aqueous,FF (MMFF),-1.0
