name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry,score
pyrazolylnucleoside methoxy,C17H19N3O4,43,COc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.4824,-1.0254,5.457,6.4824,1.0254,3.7539,2.7285,0.3665,-3.7539,2.5824,0.2174,-0.6821,Cu(111),4.94,-30572.9396307894,-2.1436,pH-weighted,aqueous,FF (MMFF),1.532
pyrazolylnucleoside methyl,C17H19N3O3,42,Cc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.9176,-1.2628,5.6549,6.9176,1.2628,4.0902,2.8274,0.3537,-4.0902,2.9588,0.1503,-0.7069,Cu(111),4.94,-28527.593019891425,-1.7979,pH-weighted,aqueous,FF (MMFF),0.504
pyrazolylnucleoside bromo,C16H16BrN3O3,39,N#CCc1cc(-c2ccc(Br)cc2)n(C2CC(O)C(CO)O2)n1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.8504,-1.0822,5.7682,6.8504,1.0822,3.9663,2.8841,0.3467,-3.9663,2.7273,0.1688,-0.721,Cu(111),4.94,-97480.94686767302,-1.7234,pH-weighted,aqueous,FF (MMFF),-0.076
pyrazolylnucleoside chloro,C16H16ClN3O3,39,N#CCc1cc(-c2ccc(Cl)cc2)n(C2CC(O)C(CO)O2)n1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.8731,-1.0218,5.8513,6.8731,1.0218,3.9475,2.9256,0.3418,-3.9475,2.6631,0.1696,-0.7314,Cu(111),4.94,-39961.485077259575,-1.7682,pH-weighted,aqueous,FF (MMFF),-0.495
pyrazolylnucleoside fluoro,C16H16FN3O3,39,N#CCc1cc(-c2ccc(F)cc2)n(C2CC(O)C(CO)O2)n1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.9128,-0.866,6.0468,6.9128,0.866,3.8894,3.0234,0.3308,-3.8894,2.5018,0.1737,-0.7558,Cu(111),4.94,-30156.93366684403,-1.9863,pH-weighted,aqueous,FF (MMFF),-1.465
