name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry,score
pyrazolopyrimidine propanoic acid,C15H14N4O3,36,Cc1nn(-c2ccccc2)c2ncnc(OCCC(=O)O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.3729,-1.7183,4.6546,6.3729,1.7183,4.0456,2.3273,0.4297,-4.0456,3.5262,0.166,-0.5818,Fe(110),4.82,-27892.13670570918,-3.9586,pH-weighted,aqueous,DFT-opt b3lyp/6-31G(d) (gas),1.169
pyrazolopyrimidine ethyl ester,C17H18N4O3,42,CCOC(=O)CCOc1ncnc2c1c(C)nn2-c1ccccc1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.3633,-1.7043,4.659,6.3633,1.7043,4.0338,2.3295,0.4293,-4.0338,3.5023,0.1684,-0.5824,Fe(110),4.82,-30031.975277546557,-4.4468,pH-weighted,aqueous,DFT-opt b3lyp/6-31G(d) (gas),0.105
pyrazolopyrimidine propanamide,C15H15N5O2,37,Cc1nn(-c2ccccc2)c2ncnc(OCCC(N)=O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.3524,-1.6876,4.6648,6.3524,1.6876,4.02,2.3324,0.4288,-4.02,3.4686,0.1714,-0.5831,Fe(110),4.82,-27351.398953060387,-4.2078,pH-weighted,aqueous,DFT-opt b3lyp/6-31G(d) (gas),-1.274
